id,name,type,status,category_audit,reason,include_in_conversions,primary_for_goal,conv_category,counting_type,attribution_model,click_lookback,view_lookback,default_value,conversions_90d,conversions_value_90d,all_conversions_90d,all_conversions_value_90d
7386341177,HubSpot Lead - Manual,UPLOAD_CLICKS,ENABLED,BROKEN_PRIMARY,CRITICAL: Enabled + included in conversions but 0 conversions in 90 days,True,True,SUBMIT_LEAD_FORM,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,1.0,0,0,0,0
943625274,Android installs (all other apps),ANDROID_INSTALLS_ALL_OTHER_APPS,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,DOWNLOAD,ONE_PER_CLICK,GOOGLE_ADS_LAST_CLICK,30,1,0,0,0,0,0
313179280,Calls from ads,AD_CALL,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,PHONE_CALL_LEAD,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,30,30,1.0,0,0,0,0
331849409,Clicks to call,GOOGLE_HOSTED,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,True,CONTACT,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,30,7,1.0,0,0,0,0
6727272921,HubSpot - Forrester Wave B2C Commerce #4649,WEBPAGE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,SUBMIT_LEAD_FORM,ONE_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,30,30,1.0,0,0,0,0
6495993795,Kibo - GA4 (web) TalkToSales,GOOGLE_ANALYTICS_4_CUSTOM,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,PAGE_VIEW,MANY_PER_CLICK,UNKNOWN,90,1,1.0,0,0,0,0
6522233733,Kibo - GA4 (web) ecom_sub_demo_registration,GOOGLE_ANALYTICS_4_CUSTOM,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,SUBMIT_LEAD_FORM,MANY_PER_CLICK,UNKNOWN,90,1,50.0,0,0,0,0
6510339787,Kibo - GA4 (web) ewebinar_click,GOOGLE_ANALYTICS_4_CUSTOM,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,CONTACT,ONE_PER_CLICK,UNKNOWN,90,1,75.0,0,0,0,0
6522233730,Kibo - GA4 (web) kibo_order_mngmt_demo_registration,GOOGLE_ANALYTICS_4_CUSTOM,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,SUBMIT_LEAD_FORM,MANY_PER_CLICK,UNKNOWN,90,1,50.0,0,0,0,0
6671171410,Kibo - GA4 (web) order_mngmt_demo_registration,GOOGLE_ANALYTICS_4_CUSTOM,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,PURCHASE,MANY_PER_CLICK,UNKNOWN,90,1,1.0,0,0,0,0
6495993792,Kibo - GA4 (web) purchase,GOOGLE_ANALYTICS_4_PURCHASE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,PURCHASE,MANY_PER_CLICK,UNKNOWN,90,1,1.0,0,0,0,0
997459605,Lead Converted (salesforce),SALESFORCE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,True,QUALIFIED_LEAD,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,1000.0,0,0,0,0
338369020,Local actions - Directions,GOOGLE_HOSTED,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,True,GET_DIRECTIONS,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,30,7,1.0,0,0,0,0
334319488,Local actions - Other engagements,GOOGLE_HOSTED,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,True,ENGAGEMENT,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,30,7,1.0,0,0,0,0
335185132,Local actions - Website visits,GOOGLE_HOSTED,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,True,PAGE_VIEW,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,30,7,1.0,0,0,0,0
6821117517,MQL Offline Conversion,UPLOAD_CLICKS,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,QUALIFIED_LEAD,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,1.0,0,0,0,0
1044675303,SF: Closed Lost,SALESFORCE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,DEFAULT,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,0,0,0,0,0
1043699006,SF: Closed Won,SALESFORCE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,PURCHASE,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,0,0,0,0,0
1043698055,SF: Lead Rejected,SALESFORCE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,DEFAULT,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,0,0,0,0,0
1047400482,SF: MQL,SALESFORCE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,QUALIFIED_LEAD,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,0,0,0,0,0
1044673194,SF: New Lead,SALESFORCE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,SUBMIT_LEAD_FORM,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,0,0,0,0,0
1047401034,SF: Opportunity,SALESFORCE,ENABLED,BROKEN_SECONDARY,Enabled but 0 conversions in 90 days - investigate or remove,False,False,CONVERTED_LEAD,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,90,1,0,0,0,0,0
